rank,character,pack_title,pack_short_name,pack_url,type,role,placeholder,verified,notes
24,,,,,Chaos,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
25,,,,,Blaze,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
26,,,,,Chill,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
27,,,,,Zap,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
28,,,,,Solid,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
29,,,,,Mind,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
30,,,,,Gross,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
31,,,,,Heart,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
32,,,,,Chaos,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
33,,,,,Blaze,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
34,,,,,Chill,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
35,,,,,Zap,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
36,,,,,Solid,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
37,,,,,Mind,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
38,,,,,Gross,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
39,,,,,Heart,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
40,,,,,Chaos,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
41,,,,,Blaze,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
42,,,,,Chill,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
43,,,,,Zap,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
44,,,,,Solid,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
45,,,,,Mind,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
46,,,,,Gross,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
47,,,,,Heart,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
48,,,,,Chaos,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
49,,,,,Blaze,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
50,,,,,Chill,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
51,,,,,Zap,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
52,,,,,Solid,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
53,,,,,Mind,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
54,,,,,Gross,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
55,,,,,Heart,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
56,,,,,Chaos,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
57,,,,,Blaze,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
58,,,,,Chill,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
59,,,,,Zap,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
60,,,,,Solid,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
61,,,,,Mind,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
62,,,,,Gross,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
63,,,,,Heart,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
64,,,,,Chaos,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
65,,,,,Blaze,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
66,,,,,Chill,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
67,,,,,Zap,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
68,,,,,Solid,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
69,,,,,Mind,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
70,,,,,Gross,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
71,,,,,Heart,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
72,,,,,Chaos,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
73,,,,,Blaze,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
74,,,,,Chill,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
75,,,,,Zap,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
76,,,,,Solid,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
77,,,,,Mind,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
78,,,,,Gross,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
79,,,,,Heart,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
80,,,,,Chaos,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
81,,,,,Blaze,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
82,,,,,Chill,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
83,,,,,Zap,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
84,,,,,Solid,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
85,,,,,Mind,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
86,,,,,Gross,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
87,,,,,Heart,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
88,,,,,Chaos,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
89,,,,,Blaze,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
90,,,,,Chill,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
91,,,,,Zap,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
92,,,,,Solid,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
93,,,,,Mind,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
94,,,,,Gross,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
95,,,,,Heart,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
96,,,,,Chaos,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
97,,,,,Blaze,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
98,,,,,Chill,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
99,,,,,Zap,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
100,,,,,Solid,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
101,,,,,Mind,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
102,,,,,Gross,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
103,,,,,Heart,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
104,,,,,Chaos,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
105,,,,,Blaze,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
106,,,,,Chill,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
107,,,,,Zap,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
108,,,,,Solid,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
109,,,,,Mind,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
110,,,,,Gross,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
111,,,,,Heart,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
112,,,,,Chaos,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
113,,,,,Blaze,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
114,,,,,Chill,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
115,,,,,Zap,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
116,,,,,Solid,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
117,,,,,Mind,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
118,,,,,Gross,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
119,,,,,Heart,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
120,,,,,Chaos,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
121,,,,,Blaze,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
122,,,,,Chill,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
123,,,,,Zap,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
124,,,,,Solid,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
125,,,,,Mind,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
126,,,,,Gross,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
127,,,,,Heart,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
128,,,,,Chaos,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
129,,,,,Blaze,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
130,,,,,Chill,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
131,,,,,Zap,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
132,,,,,Solid,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
133,,,,,Mind,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
134,,,,,Gross,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
135,,,,,Heart,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
136,,,,,Chaos,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
137,,,,,Blaze,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
138,,,,,Chill,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
139,,,,,Zap,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
140,,,,,Solid,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
141,,,,,Mind,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
142,,,,,Gross,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
143,,,,,Heart,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
144,,,,,Chaos,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
145,,,,,Blaze,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
146,,,,,Chill,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
147,,,,,Zap,Striker,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
148,,,,,Solid,Bruiser,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
149,,,,,Mind,Support,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
150,,,,,Gross,Trickster,1,0,Placeholder slot: filled by scripts/fetch_featured_stickers.py or by hand.
